"id","collection_id"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
149,1
160,1
164,1
165,1
171,1
173,1
176,1
195,1
206,1
207,1
221,1
233,1
237,1
240,1
255,1
273,1
288,1
314,1
323,1
327,1
348,1
356,1
363,1
367,1
372,1
393,1
404,1
414,1
421,1
453,1
472,1
473,1
476,1
483,1
514,1
518,1
524,1
527,1
544,1
549,1
568,1
572,1
575,1
582,1
584,1
600,1
601,1
603,1
610,1
622,1
633,1
634,1
648,1
656,1
657,1
668,1
669,1
675,1
722,1
723,1
729,1
730,1
739,1
740,1
741,1
743,1
758,1
761,1
765,1
781,1
782,1
784,1
786,1
802,1
145,2
158,2
170,2
181,2
185,2
189,2
197,2
202,2
203,2
211,2
216,2
219,2
220,2
223,2
227,2
234,2
235,2
239,2
241,2
248,2
250,2
252,2
279,2
281,2
287,2
289,2
293,2
310,2
311,2
315,2
331,2
340,2
349,2
362,2
369,2
370,2
373,2
374,2
385,2
407,2
408,2
413,2
417,2
419,2
427,2
429,2
431,2
440,2
444,2
447,2
449,2
451,2
457,2
463,2
464,2
465,2
466,2
468,2
479,2
495,2
500,2
507,2
509,2
513,2
523,2
536,2
558,2
586,2
599,2
606,2
621,2
624,2
632,2
636,2
638,2
658,2
660,2
661,2
665,2
672,2
678,2
690,2
692,2
704,2
710,2
715,2
717,2
719,2
720,2
727,2
734,2
737,2
742,2
746,2
759,2
760,2
762,2
763,2
764,2
771,2
789,2
793,2
809,2
144,3
147,3
151,3
153,3
156,3
157,3
159,3
168,3
169,3
172,3
183,3
187,3
191,3
196,3
199,3
210,3
212,3
213,3
229,3
231,3
232,3
236,3
238,3
242,3
251,3
253,3
254,3
256,3
261,3
264,3
265,3
270,3
272,3
274,3
277,3
282,3
286,3
292,3
294,3
295,3
297,3
298,3
300,3
301,3
306,3
307,3
319,3
321,3
324,3
325,3
347,3
352,3
353,3
360,3
366,3
368,3
377,3
387,3
388,3
399,3
400,3
403,3
406,3
416,3
422,3
423,3
426,3
430,3
433,3
439,3
442,3
443,3
446,3
477,3
478,3
480,3
482,3
485,3
489,3
490,3
491,3
498,3
504,3
512,3
515,3
519,3
522,3
530,3
535,3
539,3
540,3
543,3
546,3
548,3
550,3
553,3
555,3
557,3
563,3
569,3
571,3
574,3
581,3
589,3
590,3
591,3
597,3
602,3
608,3
618,3
619,3
623,3
625,3
628,3
639,3
646,3
652,3
663,3
674,3
676,3
686,3
699,3
700,3
702,3
708,3
709,3
714,3
718,3
721,3
724,3
726,3
735,3
736,3
744,3
745,3
747,3
748,3
750,3
755,3
756,3
766,3
768,3
769,3
773,3
778,3
779,3
780,3
785,3
788,3
790,3
791,3
794,3
795,3
796,3
799,3
800,3
801,3
804,3
805,3
806,3
807,3
146,4
152,4
154,4
163,4
175,4
178,4
188,4
194,4
201,4
204,4
205,4
209,4
214,4
222,4
244,4
245,4
247,4
257,4
258,4
276,4
280,4
291,4
296,4
303,4
322,4
329,4
332,4
336,4
341,4
343,4
344,4
345,4
351,4
357,4
365,4
392,4
436,4
437,4
445,4
456,4
458,4
459,4
461,4
467,4
487,4
494,4
496,4
503,4
517,4
531,4
534,4
547,4
561,4
564,4
565,4
570,4
598,4
620,4
627,4
629,4
640,4
685,4
694,4
731,4
767,4
772,4
783,4
787,4
792,4
143,5
150,5
155,5
161,5
167,5
174,5
179,5
180,5
182,5
184,5
190,5
192,5
193,5
198,5
208,5
215,5
217,5
218,5
224,5
226,5
243,5
246,5
249,5
259,5
260,5
262,5
266,5
267,5
268,5
290,5
302,5
305,5
308,5
312,5
317,5
318,5
320,5
326,5
328,5
333,5
335,5
337,5
338,5
339,5
346,5
355,5
359,5
361,5
371,5
375,5
376,5
378,5
379,5
381,5
382,5
389,5
390,5
391,5
394,5
395,5
401,5
405,5
410,5
412,5
415,5
428,5
434,5
438,5
452,5
455,5
460,5
469,5
470,5
471,5
474,5
475,5
486,5
499,5
501,5
502,5
505,5
506,5
508,5
510,5
511,5
516,5
525,5
526,5
528,5
532,5
533,5
537,5
538,5
541,5
545,5
551,5
552,5
556,5
559,5
560,5
562,5
566,5
567,5
576,5
577,5
578,5
579,5
580,5
583,5
593,5
605,5
607,5
611,5
612,5
613,5
615,5
616,5
617,5
630,5
631,5
635,5
637,5
642,5
643,5
644,5
650,5
655,5
659,5
666,5
670,5
683,5
684,5
693,5
695,5
696,5
701,5
703,5
706,5
707,5
716,5
728,5
732,5
749,5
757,5
775,5
803,5
808,5
186,6
228,6
269,6
278,6
313,6
316,6
350,6
364,6
386,6
397,6
409,6
411,6
424,6
425,6
432,6
435,6
441,6
481,6
484,6
521,6
594,6
595,6
596,6
604,6
614,6
647,6
651,6
653,6
662,6
664,6
667,6
681,6
682,6
688,6
689,6
691,6
697,6
711,6
713,6
770,6
166,7
200,7
225,7
358,7
383,7
384,7
398,7
418,7
493,7
542,7
588,7
609,7
671,7
677,7
680,7
687,7
705,7
725,7
738,7
752,7
776,7
271,8
309,8
592,8
641,8
645,8
754,8
148,9
162,9
177,9
230,9
263,9
275,9
283,9
284,9
285,9
299,9
304,9
330,9
334,9
342,9
354,9
380,9
396,9
402,9
420,9
448,9
450,9
454,9
462,9
488,9
492,9
497,9
520,9
529,9
554,9
573,9
585,9
587,9
626,9
649,9
654,9
673,9
679,9
698,9
712,9
733,9
751,9
753,9
774,9
777,9
797,9
798,9
